Matching w_words and x_words
w_word	x_word	final_pairing_value
1111222333423444	1234123123144234	1
1111222333424344	1234123123142434	1
1111222333424434	1234123123142344	1
1111222333442344	1234123123124434	1
1111222333442434	1234123123124344	-1
1111222333444234	1234123123123444	1
1111222334323444	1234123121344234	-1
1111222334324344	1234123121342434	-1
1111222334324434	1234123121342344	-1
1111222334342344	1234123121324434	1
1111222334342434	1234123121324344	-1
1111222334344234	1234123121323444	1
1111222334432344	1234123121234434	1
1111222334432434	1234123121234344	1
1111222334434234	1234123121233444	1
1111222343323444	1234123112344234	1
1111222343324344	1234123112342434	1
1111222343324434	1234123112342344	1
1111222343342344	1234123112324434	1
1111222343342434	1234123112324344	1
1111222343344234	1234123112323444	1
1111222343432344	1234123112234434	1
1111222343432434	1234123112234344	1
1111222343434234	1234123112233444	1
1111223243323444	1234121312344234	1
1111223243324344	1234121312342434	1
1111223243342344	1234121312324434	1
1111223243342434	1234121312324344	1
1111223243344234	1234121312323444	1
1111223243432344	1234121312234434	1
1111223243432434	1234121312234344	1
1111223243434234	1234121312233444	1
1111223324323444	1234121231344234	1
1111223324324344	1234121231342434	1
1111223324324434	1234121231342344	1
1111223324342344	1234121231324434	1
1111223324342434	1234121231324344	-1
1111223324344234	1234121231323444	1
1111223324432344	1234121231234434	1
1111223324432434	1234121231234344	1
1111223324434234	1234121231233444	1
1111223342323444	1234121213344234	1
1111223342324344	1234121213342434	1
1111223342324434	1234121213342344	1
1111223342342344	1234121213324434	1
1111223342342434	1234121213324344	-1
1111223342344234	1234121213323444	1
1111223342432344	1234121213234434	1
1111223342432434	1234121213234344	1
1111223342434234	1234121213233444	1
1111223344232344	1234121212334434	1
1111223344232434	1234121212334344	1
1111223344234234	1234121212333444	1
1111223423323444	1234121132344234	1
1111223423324344	1234121132342434	1
1111223423324434	1234121132342344	1
1111223423342344	1234121132324434	1
1111223423342434	1234121132324344	1
1111223423344234	1234121132323444	1
1111223423432344	1234121132234434	1
1111223423432434	1234121132234344	1
1111223423434234	1234121132233444	1
1111223432323444	1234121123344234	1
1111223432324344	1234121123342434	1
1111223432324434	1234121123342344	1
