w_idx	w_word	x_word	x_index	status	final_pairing_value	active_term_count	discharged_term_count	elapsed_sec	error
1	1111222233334444	1112221334344234		timeout				600.018	TaskTimeoutError: pairing exceeded the per-task time limit
2	1111222233343444	1122113322443344		timeout				600.023	TaskTimeoutError: pairing exceeded the per-task time limit
3	1111222233344344	1231114223324434	20773	fallback_evaluated_by_x_component_coloring	0	8	5	577.290	
4	1111222233344434	1231121224333444	20812	fallback_evaluated_by_x_component_coloring	0	4	6	41.026	
5	1111222233433444	1112233213244434	1929	fallback_evaluated_by_x_component_coloring	0	8	7	402.438	
6	1111222233434344	1211132223344434	12268	fallback_evaluated_by_x_component_coloring	0	9	7	167.848	
7	1111222233434434	1122133214432344	7427	fallback_evaluated_by_x_component_coloring	0	12	8	83.747	
8	1111222233443344	1112223314432434	1364	fallback_evaluated_by_x_component_coloring	0	12	9	103.619	
9	1111222233443434	1122131432243344	7105	fallback_evaluated_by_x_component_coloring	0	8	6	17.797	
10	1111222234333444	1213211322434434	18887	fallback_evaluated_by_x_component_coloring	0	3	6	27.124	
11	1111222234334344	1212131322344434	15608	fallback_evaluated_by_x_component_coloring	0	2	7	5.222	
12	1111222234334434	1211132432243344	12415	fallback_evaluated_by_x_component_coloring	0	2	8	2.956	
13	1111222234343344	1212123331424434	15430	fallback_evaluated_by_x_component_coloring	0	4	5	4.502	
14	1111222234343434	1212133441223344	16121	fallback_evaluated_by_x_component_coloring	0	1	5	0.220	
15	1111222323343444	1211132232434434	12285	fallback_evaluated_by_x_component_coloring	0	6	6	436.918	
16	1111222323344344	1112223143324434	1322	fallback_evaluated_by_x_component_coloring	0	12	8	171.372	
17	1111222323344434	1211134222333444	12433	fallback_evaluated_by_x_component_coloring	0	8	9	45.939	
18	1111222323433444	1123212143324434	10460	fallback_evaluated_by_x_component_coloring	0	2	8	34.065	
19	1111222323434344	1213122143342434	18064	fallback_evaluated_by_x_component_coloring	0	9	33	238.109	
20	1111222323434434	1231114232243344	20785	fallback_evaluated_by_x_component_coloring	0	2	6	2.237	
21	1111222323443344	1213212143243434	19037	fallback_evaluated_by_x_component_coloring	0	2	5	1.639	
22	1111222323443434	1213213144223344	19246	fallback_evaluated_by_x_component_coloring	0	5	6	8.560	
23	1111222324333444	1122133144223344	7390	fallback_evaluated_by_x_component_coloring	0	8	6	64.248	
24	1111222324334344	1112223143432434	1329	fallback_evaluated_by_x_component_coloring	0	6	5	15.041	
25	1111222324334434	1211132243432344	12332	fallback_evaluated_by_x_component_coloring	0	2	6	2.043	
26	1111222324343344	1112223143432434	1329	fallback_evaluated_by_x_component_coloring	0	9	6	49.212	
27	1111222324343434	1231123144223344	21238	fallback_evaluated_by_x_component_coloring	0	4	4	3.409	
28	1111222332343444	1122133214324434	7421	fallback_evaluated_by_x_component_coloring	0	4	7	36.498	
29	1111222332344344	1112223134432434	1308	fallback_evaluated_by_x_component_coloring	0	9	6	61.163	
30	1111222332344434	1231142213324344	21666	fallback_evaluated_by_x_component_coloring	0	4	6	5.437	
31	1111222332433444	1112223134324434	1301	fallback_partial		29	29	468.578	
32	1111222332434344	1211132234432434	12312	fallback_evaluated_by_x_component_coloring	0	4	4	5.711	
33	1111222332434434	1211134223233444	12438	fallback_evaluated_by_x_component_coloring	0	6	7	22.760	
34	1111222332443344	1122113233244434	6513	fallback_evaluated_by_x_component_coloring	0	12	10	91.358	
35	1111222332443434	1123214132243344	10855	fallback_evaluated_by_x_component_coloring	0	6	7	13.109	
36	1111222333243444	1213212143324434	19040	fallback_evaluated_by_x_component_coloring	0	16	9	232.694	
37	1111222333423444	1212132133244434	15729	fallback_evaluated_by_x_component_coloring	0	2	7	4.185	
38	1111222333424344	1231114232233444	20782	fallback_evaluated_by_x_component_coloring	0	5	6	14.991	
39	1111222333424434	1211132234243344	12301	fallback_partial		7	5	10.113	
