w_idx	w_word	x_word	x_index	status	final_pairing_value	used_three_strand_relation	pairing_value_warning	active_term_count	discharged_term_count	elapsed_sec	error
12	1111222234334434	1122113322443344	6564	fallback_evaluated_by_x_component_coloring	0	no		12	10	139.667	
14	1111222234343434	1122113322443344	6564	fallback_evaluated_by_x_component_coloring	0	no		8	10	71.298	
13	1111222234343344	1122113322443434	6565	fallback_evaluated_by_x_component_coloring	0	no		20	8	331.446	
11	1111222234334344	1122113322443434	6565	fallback_evaluated_by_x_component_coloring	0	no		20	8	362.288	
9	1111222233443434	1122113324243344	6579	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	20	50	470.640	
4	1111222233344434	1122113322443344		fallback_evaluated_by_x_component_coloring	0	no		32	11	1137.402001	
2	1111222233343444	1122113322443344		timeout						1200.033	TaskTimeoutError: pairing exceeded the per-task time limit
3	1111222233344344	1211132224333444		timeout						1200.017	TaskTimeoutError: pairing exceeded the per-task time limit
5	1111222233433444	1112221333244434		timeout						1200.032	TaskTimeoutError: pairing exceeded the per-task time limit
6	1111222233434344	1211132224333444		timeout						1199.995	TaskTimeoutError: pairing exceeded the per-task time limit
7	1111222233434434	1211132224333444		fallback_evaluated_by_x_component_coloring	0	no		22	12	405.093858	
8	1111222233443344	1211132224333444		timeout						1200.010	TaskTimeoutError: pairing exceeded the per-task time limit
10	1111222234333444	1112221333244434		fallback_evaluated_by_x_component_coloring	0	no		21	15	582.406308	
21	1111222323434434	1211132243233444	12319	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	8	22	59.081	
23	1111222323443434	1122113342243344	6595	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	8	22	61.638	
20	1111222323434344	1211132243233444	12319	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	12	21	99.357	
22	1111222323443344	1211132243233444	12319	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	16	27	149.983	
16	1111222323343444	1122113322443344		timeout						1200.057	TaskTimeoutError: pairing exceeded the per-task time limit
18	1111222323344434	1122113322443344	6564	fallback_evaluated_by_x_component_coloring	0	no		18	14	471.194	
19	1111222323433444	1112223133244434	1287	fallback_evaluated_by_x_component_coloring	0	no		15	13	379.079	
17	1111222323344344	1211132242333444		fallback_evaluated_by_x_component_coloring	0	no		34	40	1329.908704	
28	1111222324343434	1122113322443344	6564	fallback_evaluated_by_x_component_coloring	0	no		16	13	390.084	
31	1111222332344344	1211132224333444	12274	fallback_evaluated_by_x_component_coloring	0	no		20	9	400.673	
32	1111222332344434	1211132224333444	12274	fallback_evaluated_by_x_component_coloring	0	no		20	10	387.363	
30	1111222332343444	1211132224334344	12275	fallback_evaluated_by_x_component_coloring	0	no		20	8	500.465	
26	1111222324334434	1122113322443344	6564	fallback_evaluated_by_x_component_coloring	0	no		18	16	580.028	
24	1111222324333444	1122113322443344		timeout						1200.041	TaskTimeoutError: pairing exceeded the per-task time limit
25	1111222324334344	1211132242333444		fallback_evaluated_by_x_component_coloring	0	no		30	50	1096.837187	
27	1111222324343344	1211132242333444		fallback_evaluated_by_x_component_coloring	0	no		34	40	1042.354556	
47	1111222333444234	1211132224333444	12274	fallback_proved_zero	0	no		0	4	5.703	
35	1111222332434434	1211132224333444	12274	fallback_evaluated_by_x_component_coloring	0	no		20	10	418.920	
49	1111222334234344	1211132242333444	12314	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	10	28	100.092	
33	1111222332433444	1122113324243344		timeout						1200.022	TaskTimeoutError: pairing exceeded the per-task time limit
34	1111222332434344	1211132224333444		fallback_evaluated_by_x_component_coloring	0	no		40	13	1702.878949	
50	1111222334234434	1122113322443344	6564	fallback_evaluated_by_x_component_coloring	0	no		10	10	101.940	
46	1111222333442434	1122113324423344	6587	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	16	37	295.521	
36	1111222332443344	1211132224333444		timeout						1200.015	TaskTimeoutError: pairing exceeded the per-task time limit
37	1111222332443434	1122113324243344	6579	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	20	50	488.893	
44	1111222333424434	1211132224333444	12274	fallback_evaluated_by_x_component_coloring	0	no		20	10	445.645	
57	1111222334342434	1122113342423344	6603	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	6	20	41.155	
58	1111222334344234	1211132242333444	12314	fallback_proved_zero	0	no		0	4	0.894	
42	1111222333423444	1122113324243344	6579	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	20	49	536.720	
45	1111222333442344	1112223133244434	1287	fallback_evaluated_by_x_component_coloring	0	no		15	18	479.660	
59	1111222334423344	1231114222343434	20765	fallback_evaluated_by_x_component_coloring	0	no		5	6	20.629	
39	1111222333243444	1122113322443344		timeout						1200.028	TaskTimeoutError: pairing exceeded the per-task time limit
63	1111222334434234	1211132242333444	12314	fallback_proved_zero	0	no		0	4	1.240	
62	1111222334432434	1122113342423344	6603	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	3	18	31.265	
43	1111222333424344	1112223133244434		fallback_evaluated_by_x_component_coloring	0	no		36	14	1359.019479	
48	1111222334233444	1122113322443344		fallback_evaluated_by_x_component_coloring	0	no		34	14	1244.770169	
52	1111222334243434	1122113322443344	6564	fallback_evaluated_by_x_component_coloring	0	no		16	13	384.713	
66	1111222342334434	1211132224333444	12274	fallback_evaluated_by_x_component_coloring	0	no		8	9	59.268	
68	1111222342343434	1211132224334344	12275	fallback_evaluated_by_x_component_coloring	0	no		4	9	22.402	
67	1111222342343344	1211132224333444	12274	fallback_evaluated_by_x_component_coloring	0	no		8	9	57.555	
56	1111222334342344	1122113322434434	6563	fallback_evaluated_by_x_component_coloring	0	no		16	11	377.017	
70	1111222343234344	1211132224333444	12274	fallback_evaluated_by_x_component_coloring	0	no		8	10	78.700	
71	1111222343234434	1122113322443344	6564	fallback_evaluated_by_x_component_coloring	0	no		6	12	65.276	
65	1111222342334344	1211132224333444	12274	fallback_evaluated_by_x_component_coloring	0	no		16	9	266.171	
51	1111222334243344	1211132242333444		fallback_evaluated_by_x_component_coloring	0	no		34	40	997.841213	
53	1111222334323444	1122113322443344		fallback_evaluated_by_x_component_coloring	0	no		24	13	584.955303	
60	1111222334423434	1122113322443344	6564	fallback_evaluated_by_x_component_coloring	0	no		16	14	397.601	
78	1111222343342434	1231114222334344	20762	fallback_evaluated_by_x_component_coloring	0	no		3	8	17.684	
73	1111222343243434	1122113322443344	6564	fallback_evaluated_by_x_component_coloring	0	no		12	11	175.048	
79	1111222343344234	1211132224333444	12274	fallback_proved_zero	0	no		0	4	5.279	
55	1111222334324434	1122113322443344	6564	fallback_evaluated_by_x_component_coloring	0	no		18	16	563.912	
54	1111222334324344	1112223133244434		fallback_evaluated_by_x_component_coloring	0	no		30	11	737.360975	
81	1111222343423434	1211132224343344	12277	fallback_evaluated_by_x_component_coloring	0	no		4	8	20.373	
83	1111222343432434	1122133214423344	7425	fallback_evaluated_by_x_component_coloring	0	no		4	8	20.819	
84	1111222343434234	1211132224333444	12274	fallback_proved_zero	0	no		0	4	5.185	
77	1111222343342344	1211132224334434	12276	fallback_evaluated_by_x_component_coloring	0	no		8	8	73.236	
61	1111222334432344	1112223133244434	1287	fallback_evaluated_by_x_component_coloring	0	no		18	17	470.177	
80	1111222343423344	1122133214432434	7428	fallback_evaluated_by_x_component_coloring	0	no		8	8	62.608	
82	1111222343432344	1112223313244434	1343	fallback_evaluated_by_x_component_coloring	0	no		6	11	72.488	
90	1111223223434344	1213211432243434	18962	fallback_evaluated_by_x_component_coloring	0	no		6	7	35.614	
64	1111222342333444	1122113324243344	6579	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	20	49	499.830	
91	1111223223434434	1213211432243344	18961	fallback_evaluated_by_x_component_coloring	0	no		6	8	37.198	
93	1111223223443434	1213211432243344	18961	fallback_evaluated_by_x_component_coloring	-1	no		6	9	50.298	
87	1111223223344344	1112221333442434	1222	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	12	30	156.661	
72	1111222343243344	1211132224333444	12274	fallback_evaluated_by_x_component_coloring	0	no		20	9	371.108	
92	1111223223443344	1213211432243434	18962	fallback_evaluated_by_x_component_coloring	-1	no		10	8	124.980	
75	1111222343324344	1112223313244434	1343	fallback_evaluated_by_x_component_coloring	0	no		18	10	345.880	
101	1111223232344344	1213121224333444	17842	fallback_evaluated_by_x_component_coloring	0	no		6	7	35.521	
76	1111222343324434	1122113322443344	6564	fallback_evaluated_by_x_component_coloring	0	no		12	19	362.449	
102	1111223232344434	1213121224333444	17842	fallback_evaluated_by_x_component_coloring	0	no		6	7	33.034	
74	1111222343323444	1122113322443344	6564	fallback_evaluated_by_x_component_coloring	0	no		18	17	483.464	
69	1111222343233444	1122113322443344		fallback_evaluated_by_x_component_coloring	0	no		24	13	588.625513	
97	1111223224343344	1112221333442434	1222	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	12	30	145.825	
89	1111223223433444	1112221333244434	1217	fallback_evaluated_by_x_component_coloring	0	no		15	14	315.571	
100	1111223232343444	1112221334324434	1231	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	12	30	154.457	
