w_idx	w_word	x_word	x_index	status	final_pairing_value	used_three_strand_relation	pairing_value_warning	active_term_count	discharged_term_count	elapsed_sec	error
93	1111223223443434	1213211432243344	18961	fallback_evaluated_by_x_component_coloring	-1	no		6	9	50.298	
92	1111223223443344	1213211432243434	18962	fallback_evaluated_by_x_component_coloring	-1	no		10	8	124.980	
158	1111223322344434	1213121224333444	17842	fallback_evaluated_by_x_component_coloring	0	no		10	7	95.319	
157	1111223322344344	1112221334324434	1231	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	18	25	189.398	
176	1111223324234434	1122131322443344	7032	fallback_evaluated_by_x_component_coloring	0	no		10	9	99.395	
192	1111223342234434	1213121224333444	17842	fallback_evaluated_by_x_component_coloring	-1	no		6	7	37.598	
234	1111223432234434	1122133122443344	7346	fallback_evaluated_by_x_component_coloring	0	no		6	10	61.408	
259	1111232223434434	1213211432243344	18961	fallback_evaluated_by_x_component_coloring	0	no		6	9	46.269	
261	1111232223443434	1213211432243344	18961	fallback_evaluated_by_x_component_coloring	0	no		6	9	46.066	
273	1111232232434434	1122113324243344	6579	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	10	28	80.444	
275	1111232232443434	1122113324243344	6579	fallback_evaluated_by_x_component_coloring	1	yes	WARNING: 3-strand relation used	8	30	76.752	
288	1111232234234434	1122113322443344	6564	fallback_evaluated_by_x_component_coloring	0	no		4	10	24.730	
290	1111232234243434	1122113322443344	6564	fallback_evaluated_by_x_component_coloring	1	no		4	11	32.196	
301	1111232234434234	1231114222333444	20761	fallback_evaluated_by_x_component_coloring	1	no		2	8	12.267	
289	1111232234243344	1122113322443434	6565	fallback_evaluated_by_x_component_coloring	1	no		10	9	104.216	
298	1111232234423434	1122113322443344	6564	fallback_evaluated_by_x_component_coloring	0	no		4	12	40.856	
297	1111232234423344	1213211432243434	18962	fallback_evaluated_by_x_component_coloring	0	no		4	10	48.285	
299	1111232234432344	1112221333244434	1217	fallback_evaluated_by_x_component_coloring	0	no		4	11	29.030	
325	1111232322344344	1213112224333444	17632	fallback_evaluated_by_x_component_coloring	0	no		6	9	52.995	
329	1111232322434434	1122113324243344	6579	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	8	30	79.927	
344	1111232324234434	1122113322443344	6564	fallback_evaluated_by_x_component_coloring	0	no		4	11	29.621	
360	1111232342234434	1122113322443344	6564	fallback_evaluated_by_x_component_coloring	0	no		4	12	40.908	
