representative_index	w_word	x_word	x_index	status	final_pairing_value	used_three_strand_relation	pairing_value_warning	active_term_count	discharged_term_count	elapsed_sec	error	result_source
7	1111222233434434	1122113324243344	6579	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	20	49	575.707		All_Pairings_0727.tsv
7	1111222233434434	1122113324432344	6589	fallback_evaluated_by_x_component_coloring	0	no		8	6	53.042		All_Pairings_0727.tsv
7	1111222233434434	1122113432243344	6637	fallback_evaluated_by_x_component_coloring	0	no		12	6	114.044		All_Pairings_0727.tsv
7	1111222233434434	1122113434232344	6652	fallback_evaluated_by_x_component_coloring	0	no		4	5	13.243		All_Pairings_0727.tsv
7	1111222233434434	1122131324243344	7047	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	10	27	96.922		All_Pairings_0727.tsv
7	1111222233434434	1122131324432344	7057	fallback_evaluated_by_x_component_coloring	0	no		4	6	15.887		All_Pairings_0727.tsv
7	1111222233434434	1122131432243344	7105	fallback_evaluated_by_x_component_coloring	0	no		8	6	53.611		All_Pairings_0727.tsv
7	1111222233434434	1122131434232344	7120	fallback_evaluated_by_x_component_coloring	0	no		2	5	6.273		All_Pairings_0727.tsv
7	1111222233434434	1122133214243344	7417	fallback_evaluated_by_x_component_coloring	0	no		10	9	135.768		All_Pairings_0727.tsv
7	1111222233434434	1122133412243344	7488	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	8	9	21.740		All_Pairings_0727.tsv
7	1111222233434434	1122133414232344	7503	fallback_evaluated_by_x_component_coloring	0	no		4	4	11.204		All_Pairings_0727.tsv
7	1111222233434434	1122133424132344	7534	fallback_evaluated_by_x_component_coloring	0	yes	WARNING: 3-strand relation used	6	9	12.451		All_Pairings_0727.tsv
7	1111222233434434	1122133442132344	7548	fallback_evaluated_by_x_component_coloring	0	no		2	4	4.927		All_Pairings_0727.tsv
7	1111222233434434	1122134312243344	7656	fallback_evaluated_by_x_component_coloring	0	no		4	5	12.303		All_Pairings_0727.tsv
7	1111222233434434	1122134314232344	7671	fallback_evaluated_by_x_component_coloring	0	no		2	4	4.506		All_Pairings_0727.tsv
