index	representative	orbit_size	orbit_words
1	1111222233334444	4	1111222233334444,1112221333244434,1122113322443344,1211132224333444
2	1111222233343444	16	1111222233343444,1112221333424434,1122113324243344,1211132242333444,1111222323334444,1112223133244434,1122131322443344,1211312224333444,1112122233334444,1121221333244434,1212113322443344,1121132224333444,1211322143324434,1112221333244344,1122113322443434,1211132224334344
3	1111222233344344	16	1111222233344344,1112221333442434,1122113324423344,1211132243233444,1111222332334444,1112223313244434,1122133122443344,1211321224333444,1112212233334444,1122121333244434,1211213322443344,1112132224333444,1121322143324434,1213211432243344,1122113322433444,1211132224334434
4	1111222233344434	16	1111222233344434,1112221333444234,1122113324432344,1211132243323444,1111222333234444,1112223331244434,1122133212443344,1211322124333444,1112221233334444,1122112333244434,1211123322443344,1111232224333444,1112322143324434,1123211432243344,1231114222333444,1211132223334444
5	1111222233433444	16	1111222233433444,1112221334324434,1122113342243344,1211132422333444,1111223223334444,1112232133244434,1122311322443344,1213112224333444,1121122233334444,1211221333244434,1112213322443344,1122133214432434,1211322143324344,1112221333243444,1122113322434434,1211132224343344
6	1111222233434344	16	1111222233434344,1112221334342434,1122113342423344,1211132423233444,1111223232334444,1112232313244434,1122313122443344,1213121224333444,1121212233334444,1212121333244434,1121213322443344,1212133214432434,1121322143324344,1213211432243434,1122113322434344,1211132224343434
7	1111222233434434	16	1111222233434434,1112221334344234,1122113342432344,1211132423323444,1111223233234444,1112232331244434,1122313212443344,1213122124333444,1121221233334444,1212112333244434,1121123322443344,1211233214432434,1112322143324344,1123211432243434,1231114222334344,1211132223343444
8	1111222233443344	16	1111222233443344,1112221334432434,1122113344223344,1211132432233444,1111223322334444,1112233213244434,1122331122443344,1213211224333444,1122112233334444,1211122333244434,1111223322443344,1112233214432434,1122331144223344,1213211432233444,1122113322334444,1211132223344434
9	1111222233443434	16	1111222233443434,1112221334434234,1122113344232344,1211132432323444,1111223323234444,1112233231244434,1122331212443344,1213212124333444,1122121233334444,1211212333244434,1112123322443344,1121233214432434,1212331144223344,1123211432233444,1231114222334434,1211132223344344
10	1111222234333444	16	1111222234333444,1112221343324434,1122113432243344,1211134222333444,1111232223334444,1112322133244434,1123211322443344,1231112224333444,1211122233334444,1111222333244434,1112223331444234,1122133214432344,1211322143323444,1112221333234444,1122113322344434,1211132223443344
11	1111222234334344	16	1111222234334344,1112221343342434,1122113432423344,1211134223233444,1111232232334444,1112322313244434,1123213122443344,1231121224333444,1211212233334444,1112122333244434,1121223331444234,1212133214432344,1121322143323444,1213211432234434,1122113322344344,1211132223443434
12	1111222234334434	16	1111222234334434,1112221343344234,1122113432432344,1211134223323444,1111232233234444,1112322331244434,1123213212443344,1231122124333444,1211221233334444,1112212333244434,1122123331444234,1211233214432344,1112322143323444,1123211432234434,1231114222343344,1211132223433444
13	1111222234343344	16	1111222234343344,1112221343432434,1122113434223344,1211134232233444,1111232322334444,1112323213244434,1123231122443344,1231211224333444,1212112233334444,1121122333244434,1211223331444234,1112233214432344,1122331144223434,1213211432234344,1122113322343444,1211132223434434
14	1111222234343434	16	1111222234343434,1112221343434234,1122113434232344,1211134232323444,1111232323234444,1112323231244434,1123231212443344,1231212124333444,1212121233334444,1121212333244434,1212123331444234,1121233214432344,1212331144223434,1123211432234344,1231114222343434,1211132223434344
