index	original_representative	transpose_word	original_tableau	transpose_tableau
1	1111222233334444	1234123412341234	[[1,2,3,4],[5,6,7,8],[9,10,11,12],[13,14,15,16]]	[[1,5,9,13],[2,6,10,14],[3,7,11,15],[4,8,12,16]]
2	1111222233343444	1234123412314234	[[1,2,3,4],[5,6,7,8],[9,10,11,13],[12,14,15,16]]	[[1,5,9,12],[2,6,10,14],[3,7,11,15],[4,8,13,16]]
3	1111222233344344	1234123412312434	[[1,2,3,4],[5,6,7,8],[9,10,11,14],[12,13,15,16]]	[[1,5,9,12],[2,6,10,13],[3,7,11,15],[4,8,14,16]]
4	1111222233344434	1234123412312344	[[1,2,3,4],[5,6,7,8],[9,10,11,15],[12,13,14,16]]	[[1,5,9,12],[2,6,10,13],[3,7,11,14],[4,8,15,16]]
5	1111222233433444	1234123412134234	[[1,2,3,4],[5,6,7,8],[9,10,12,13],[11,14,15,16]]	[[1,5,9,11],[2,6,10,14],[3,7,12,15],[4,8,13,16]]
6	1111222233434344	1234123412132434	[[1,2,3,4],[5,6,7,8],[9,10,12,14],[11,13,15,16]]	[[1,5,9,11],[2,6,10,13],[3,7,12,15],[4,8,14,16]]
7	1111222233434434	1234123412132344	[[1,2,3,4],[5,6,7,8],[9,10,12,15],[11,13,14,16]]	[[1,5,9,11],[2,6,10,13],[3,7,12,14],[4,8,15,16]]
8	1111222233443344	1234123412123434	[[1,2,3,4],[5,6,7,8],[9,10,13,14],[11,12,15,16]]	[[1,5,9,11],[2,6,10,12],[3,7,13,15],[4,8,14,16]]
9	1111222233443434	1234123412123344	[[1,2,3,4],[5,6,7,8],[9,10,13,15],[11,12,14,16]]	[[1,5,9,11],[2,6,10,12],[3,7,13,14],[4,8,15,16]]
10	1111222234333444	1234123411234234	[[1,2,3,4],[5,6,7,8],[9,11,12,13],[10,14,15,16]]	[[1,5,9,10],[2,6,11,14],[3,7,12,15],[4,8,13,16]]
11	1111222234334344	1234123411232434	[[1,2,3,4],[5,6,7,8],[9,11,12,14],[10,13,15,16]]	[[1,5,9,10],[2,6,11,13],[3,7,12,15],[4,8,14,16]]
12	1111222234334434	1234123411232344	[[1,2,3,4],[5,6,7,8],[9,11,12,15],[10,13,14,16]]	[[1,5,9,10],[2,6,11,13],[3,7,12,14],[4,8,15,16]]
13	1111222234343344	1234123411223434	[[1,2,3,4],[5,6,7,8],[9,11,13,14],[10,12,15,16]]	[[1,5,9,10],[2,6,11,12],[3,7,13,15],[4,8,14,16]]
14	1111222234343434	1234123411223344	[[1,2,3,4],[5,6,7,8],[9,11,13,15],[10,12,14,16]]	[[1,5,9,10],[2,6,11,12],[3,7,13,14],[4,8,15,16]]
15	1111222323343444	1234123142314234	[[1,2,3,4],[5,6,7,9],[8,10,11,13],[12,14,15,16]]	[[1,5,8,12],[2,6,10,14],[3,7,11,15],[4,9,13,16]]
16	1111222323344344	1234123142312434	[[1,2,3,4],[5,6,7,9],[8,10,11,14],[12,13,15,16]]	[[1,5,8,12],[2,6,10,13],[3,7,11,15],[4,9,14,16]]
17	1111222323344434	1234123142312344	[[1,2,3,4],[5,6,7,9],[8,10,11,15],[12,13,14,16]]	[[1,5,8,12],[2,6,10,13],[3,7,11,14],[4,9,15,16]]
18	1111222323433444	1234123142134234	[[1,2,3,4],[5,6,7,9],[8,10,12,13],[11,14,15,16]]	[[1,5,8,11],[2,6,10,14],[3,7,12,15],[4,9,13,16]]
19	1111222323434344	1234123142132434	[[1,2,3,4],[5,6,7,9],[8,10,12,14],[11,13,15,16]]	[[1,5,8,11],[2,6,10,13],[3,7,12,15],[4,9,14,16]]
20	1111222323434434	1234123142132344	[[1,2,3,4],[5,6,7,9],[8,10,12,15],[11,13,14,16]]	[[1,5,8,11],[2,6,10,13],[3,7,12,14],[4,9,15,16]]
21	1111222323443344	1234123142123434	[[1,2,3,4],[5,6,7,9],[8,10,13,14],[11,12,15,16]]	[[1,5,8,11],[2,6,10,12],[3,7,13,15],[4,9,14,16]]
22	1111222323443434	1234123142123344	[[1,2,3,4],[5,6,7,9],[8,10,13,15],[11,12,14,16]]	[[1,5,8,11],[2,6,10,12],[3,7,13,14],[4,9,15,16]]
23	1111222324333444	1234123141234234	[[1,2,3,4],[5,6,7,9],[8,11,12,13],[10,14,15,16]]	[[1,5,8,10],[2,6,11,14],[3,7,12,15],[4,9,13,16]]
24	1111222324334344	1234123141232434	[[1,2,3,4],[5,6,7,9],[8,11,12,14],[10,13,15,16]]	[[1,5,8,10],[2,6,11,13],[3,7,12,15],[4,9,14,16]]
25	1111222324334434	1234123141232344	[[1,2,3,4],[5,6,7,9],[8,11,12,15],[10,13,14,16]]	[[1,5,8,10],[2,6,11,13],[3,7,12,14],[4,9,15,16]]
26	1111222324343344	1234123141223434	[[1,2,3,4],[5,6,7,9],[8,11,13,14],[10,12,15,16]]	[[1,5,8,10],[2,6,11,12],[3,7,13,15],[4,9,14,16]]
27	1111222324343434	1234123141223344	[[1,2,3,4],[5,6,7,9],[8,11,13,15],[10,12,14,16]]	[[1,5,8,10],[2,6,11,12],[3,7,13,14],[4,9,15,16]]
28	1111222332343444	1234123124314234	[[1,2,3,4],[5,6,7,10],[8,9,11,13],[12,14,15,16]]	[[1,5,8,12],[2,6,9,14],[3,7,11,15],[4,10,13,16]]
29	1111222332344344	1234123124312434	[[1,2,3,4],[5,6,7,10],[8,9,11,14],[12,13,15,16]]	[[1,5,8,12],[2,6,9,13],[3,7,11,15],[4,10,14,16]]
30	1111222332344434	1234123124312344	[[1,2,3,4],[5,6,7,10],[8,9,11,15],[12,13,14,16]]	[[1,5,8,12],[2,6,9,13],[3,7,11,14],[4,10,15,16]]
31	1111222332433444	1234123124134234	[[1,2,3,4],[5,6,7,10],[8,9,12,13],[11,14,15,16]]	[[1,5,8,11],[2,6,9,14],[3,7,12,15],[4,10,13,16]]
32	1111222332434344	1234123124132434	[[1,2,3,4],[5,6,7,10],[8,9,12,14],[11,13,15,16]]	[[1,5,8,11],[2,6,9,13],[3,7,12,15],[4,10,14,16]]
33	1111222332434434	1234123124132344	[[1,2,3,4],[5,6,7,10],[8,9,12,15],[11,13,14,16]]	[[1,5,8,11],[2,6,9,13],[3,7,12,14],[4,10,15,16]]
34	1111222332443344	1234123124123434	[[1,2,3,4],[5,6,7,10],[8,9,13,14],[11,12,15,16]]	[[1,5,8,11],[2,6,9,12],[3,7,13,15],[4,10,14,16]]
35	1111222332443434	1234123124123344	[[1,2,3,4],[5,6,7,10],[8,9,13,15],[11,12,14,16]]	[[1,5,8,11],[2,6,9,12],[3,7,13,14],[4,10,15,16]]
36	1111222333243444	1234123123414234	[[1,2,3,4],[5,6,7,11],[8,9,10,13],[12,14,15,16]]	[[1,5,8,12],[2,6,9,14],[3,7,10,15],[4,11,13,16]]
37	1111222333423444	1234123123144234	[[1,2,3,4],[5,6,7,12],[8,9,10,13],[11,14,15,16]]	[[1,5,8,11],[2,6,9,14],[3,7,10,15],[4,12,13,16]]
38	1111222333424344	1234123123142434	[[1,2,3,4],[5,6,7,12],[8,9,10,14],[11,13,15,16]]	[[1,5,8,11],[2,6,9,13],[3,7,10,15],[4,12,14,16]]
39	1111222333424434	1234123123142344	[[1,2,3,4],[5,6,7,12],[8,9,10,15],[11,13,14,16]]	[[1,5,8,11],[2,6,9,13],[3,7,10,14],[4,12,15,16]]
40	1111222333442344	1234123123124434	[[1,2,3,4],[5,6,7,13],[8,9,10,14],[11,12,15,16]]	[[1,5,8,11],[2,6,9,12],[3,7,10,15],[4,13,14,16]]
