example_id	W	X	<W,X>	<X,W>	match
1	1111223223443434	1213211432243344	1	1	True
2	1111232232443434	1122113324243344	1	1	True
3	1111232234434234	1231114222333444	1	1	True
4	1111234232234434	1213211224333444	1	1	True
5	1112123342234434	1211321224333444	1	1	True
6	1112312324234434	1211132242333444	1	1	True
7	1112132322434434	1211312224333444	1	1	True
8	1112132342234434	1211312224333444	1	1	True
9	1112312234234434	1211132422333444	1	1	True
10	1111232234234434	1231114222333444	1	1	True
11	1112123223443434	1231211432243344	1	1	True
12	1111232322434434	1213112224333444	1	1	True
13	1111223342234434	1213121224333444	1	1	True
14	1111232342234434	1213112224333444	1	1	True
15	1112132234234434	1211312422333444	1	1	True
16	1111223223443344	1213211432243434	1	1	True
17	1111232234432344	1231114222334434	1	1	True
18	1112132324234434	1211312242333444	1	1	True
19	1112323241342344	1231122413324434	0	0	True
