class_index	representative_index_a	representative_index_b	w_global_index_a	w_word_a	transpose_word_a	value_a	status_a	double_trident_a	warning_a	active_term_count_a	discharged_term_count_a	elapsed_sec_a	w_global_index_b	w_word_b	transpose_word_b	value_b	status_b	double_trident_b	warning_b	active_term_count_b	discharged_term_count_b	elapsed_sec_b	double_trident_profile
1	1	1522	1	1111222233334444	1234123412341234	1	fallback_evaluated_by_x_component_coloring	no	WARNING: stored as <W,X>, but computed in reversed order <X,W>	1	12	141.879	11751	1123412341234234	1211132224333444	-1	fallback_evaluated_by_x_component_coloring	no		1	12	23.336	neither
2	4	1381	4	1111222233344434	1234123412312344	-1	fallback_evaluated_by_x_component_coloring	no		1	0	4.289	3264	1112341234234234	1231114222333444	1	fallback_evaluated_by_x_component_coloring	no		1	9	13.838	neither
3	7	1380	7	1111222233434434	1234123412132344	-1	fallback_evaluated_by_x_component_coloring	no		1	1	1.008	3263	1112341234232434	1231114222334344	1	fallback_evaluated_by_x_component_coloring	no		1	8	11.235	neither
4	8	1492	8	1111222233443344	1234123412123434	1	fallback_evaluated_by_x_component_coloring	no		1	0	0.705	5067	1121234123434234	1213211432233444	-1	fallback_evaluated_by_x_component_coloring	no		1	8	9.323	neither
5	12	1317	12	1111222234334434	1234123411232344	1	fallback_evaluated_by_x_component_coloring	no		1	1	0.140	3045	1112323441234234	1231122124333444	-1	fallback_evaluated_by_x_component_coloring	no		1	7	6.367	neither
6	13	1156	13	1111222234343344	1234123411223434	1	fallback_evaluated_by_x_component_coloring	no		1	1	0.061	2235	1112234341234234	1231211224333444	-1	fallback_evaluated_by_x_component_coloring	no		1	7	6.162	neither
7	14	1089	14	1111222234343434	1234123411223344	1	fallback_evaluated_by_x_component_coloring	no		1	2	0.026	2067	1112233441234234	1231212124333444	-1	fallback_evaluated_by_x_component_coloring	no		1	6	3.469	neither
8	16	1487	17	1111222323344344	1234123142312434	-1	fallback_evaluated_by_x_component_coloring	no		1	2	3.962	4985	1121233412342344	1213212143324434	1	fallback_evaluated_by_x_component_coloring	no		1	9	13.816	neither
9	17	1378	18	1111222323344434	1234123142312344	-1	fallback_evaluated_by_x_component_coloring	no		1	1	0.408	3259	1112341232434234	1231114223233444	1	fallback_evaluated_by_x_component_coloring	no		1	8	9.678	neither
10	18	1297	19	1111222323433444	1234123142134234	-1	fallback_evaluated_by_x_component_coloring	no		1	2	4.084	2993	1112323412342344	1231122143324434	1	fallback_evaluated_by_x_component_coloring	no		1	9	14.401	neither
11	19	1062	20	1111222323434344	1234123142132434	-1	fallback_evaluated_by_x_component_coloring	no		1	3	1.142	2015	1112233412342344	1231212143324434	1	fallback_evaluated_by_x_component_coloring	no		1	8	9.103	neither
12	20	1144	21	1111222323434434	1234123142132344	-1	fallback_evaluated_by_x_component_coloring	no		1	2	0.116	2183	1112234312342344	1231211243324434	1	fallback_evaluated_by_x_component_coloring	no		1	7	7.618	neither
13	25	1377	26	1111222324334434	1234123141232344	1	fallback_evaluated_by_x_component_coloring	no		1	2	0.095	3256	1112341232423434	1231114223243344	-1	fallback_evaluated_by_x_component_coloring	no		1	7	7.895	neither
14	26	1458	27	1111222324343344	1234123141223434	1	fallback_evaluated_by_x_component_coloring	no		1	2	0.060	4439	1121223434123434	1213231122443344	-1	fallback_evaluated_by_x_component_coloring	no		1	7	7.386	neither
